event_hour,total_events,total_events_human,push_events,push_events_human,bot_events,distinct_actors,distinct_actors_human,distinct_repos,distinct_push_repos
2021-01-01T00:00:00Z,60934,51396,34887,31585,9538,14490,14418,21420,13975
2021-01-01T01:00:00Z,54010,44981,33152,29344,9029,13705,13633,19950,13643
2021-01-01T02:00:00Z,52043,45432,30693,28462,6611,13914,13854,18525,11857
2021-01-01T03:00:00Z,56900,48081,31129,28541,8819,13292,13230,18499,11401
2021-01-01T04:00:00Z,54889,46491,30862,28546,8398,13227,13166,18631,11235
2021-01-01T05:00:00Z,71584,47364,32504,29975,24220,13653,13582,19707,11263
2021-01-01T06:00:00Z,62919,50078,35081,31811,12841,14810,14748,21675,13208
2021-01-01T07:00:00Z,66474,51034,34772,32430,15440,16607,16532,22492,13476
2021-01-01T08:00:00Z,59149,48606,33013,30175,10543,16067,16006,21134,13031
2021-01-01T09:00:00Z,63131,53600,36247,33196,9531,17302,17235,22520,14028
2021-01-01T10:00:00Z,66520,56969,37582,35005,9551,18072,18013,23701,14233
2021-01-01T11:00:00Z,73336,64120,42441,39920,9216,19397,19323,25490,15288
2021-01-01T12:00:00Z,71613,63393,40884,37398,8220,21310,21236,28111,17334
2021-01-01T13:00:00Z,80157,70816,45572,43149,9341,23232,23163,28730,17525
2021-01-01T14:00:00Z,83643,76533,49207,46457,7110,25276,25202,30736,19281
2021-01-01T15:00:00Z,84581,76982,50054,46994,7599,26054,25978,31942,20236
2021-01-01T16:00:00Z,82364,74921,48575,46057,7443,25435,25362,31046,19792
2021-01-01T17:00:00Z,84231,75046,48266,45779,9185,24938,24863,30848,19614
2021-01-01T18:00:00Z,79572,69760,45733,41907,9812,23697,23622,30601,19904
2021-01-01T19:00:00Z,76887,69326,45165,42653,7561,22981,22901,28670,18603
2021-01-01T20:00:00Z,75197,66774,43699,41124,8423,22365,22285,27356,17764
2021-01-01T21:00:00Z,73044,65610,42354,39690,7434,21278,21194,26480,17446
2021-01-01T22:00:00Z,68953,62940,40438,38446,6013,20367,20297,25008,16248
2021-01-01T23:00:00Z,65363,58728,39964,37923,6635,18908,18842,23278,15511
2021-01-02T00:00:00Z,62949,56286,38861,36112,6663,17868,17799,23854,15766
2021-01-02T01:00:00Z,60101,53316,37822,34458,6785,17293,17221,23189,15578
2021-01-02T02:00:00Z,63079,55961,37730,35535,7118,18348,18276,23586,14899
2021-01-02T03:00:00Z,64093,54926,37427,34341,9167,17934,17868,24592,15362
2021-01-02T04:00:00Z,62384,55378,37253,34733,7006,17761,17696,23535,14752
2021-01-02T05:00:00Z,63470,55754,38014,35307,7716,18131,18072,23355,14730
2021-01-02T06:00:00Z,64400,57107,37108,34801,7293,18766,18699,24822,14661
2021-01-02T07:00:00Z,64837,60280,38810,37118,4557,19670,19606,24578,14724
2021-01-02T08:00:00Z,68580,63703,40754,38938,4877,20787,20715,25675,15365
2021-01-02T09:00:00Z,71922,67052,43099,41238,4870,21983,21909,26356,15990
2021-01-02T10:00:00Z,74116,69315,43695,41874,4801,23044,22974,27601,16726
2021-01-02T11:00:00Z,77477,72292,47028,44966,5185,24307,24238,28893,17911
2021-01-02T12:00:00Z,81070,75648,47615,45711,5422,25981,25920,31195,19325
2021-01-02T13:00:00Z,88767,82841,52673,50631,5926,28362,28289,33660,20783
2021-01-02T14:00:00Z,93940,87449,55377,52990,6491,30672,30595,36060,22820
2021-01-02T15:00:00Z,94496,87960,55402,53136,6536,32276,32209,38114,24652
2021-01-02T16:00:00Z,95056,88661,56016,53907,6395,31288,31214,36661,23083
2021-01-02T17:00:00Z,91679,85285,53170,51209,6394,30374,30306,35768,22851
2021-01-02T18:00:00Z,83938,78491,48648,46601,5447,28750,28679,34221,22033
2021-01-02T19:00:00Z,81472,75723,47137,45227,5749,26985,26906,32045,20783
2021-01-02T20:00:00Z,78475,72198,45913,43771,6277,25772,25695,30332,19893
