event_type,field_path,spark_type,presence_count,event_count,presence_rate,sample_value,nullable,notes
CommitCommentEvent,actor,STRUCT,6,6,1.0,,False,
CommitCommentEvent,actor.avatar_url,STRING,6,6,1.0,"""https://avatars.githubusercontent.com/u/310654314?""",False,
CommitCommentEvent,actor.display_login,STRING,6,6,1.0,"""ananddengi0-art""",False,
CommitCommentEvent,actor.gravatar_id,STRING,6,6,1.0,"""""",False,
CommitCommentEvent,actor.id,BIGINT,6,6,1.0,310654314,False,contract field
CommitCommentEvent,actor.login,STRING,6,6,1.0,"""ananddengi0-art""",False,contract field
CommitCommentEvent,actor.url,STRING,6,6,1.0,"""https://api.github.com/users/ananddengi0-art""",False,
CommitCommentEvent,created_at,STRING,6,6,1.0,"""2026-07-29T15:00:20Z""",False,contract field
CommitCommentEvent,id,STRING,6,6,1.0,"""12481908346""",False,contract field
CommitCommentEvent,org,STRUCT,1,6,0.166667,,False,
CommitCommentEvent,org.avatar_url,STRING,1,6,0.166667,"""https://avatars.githubusercontent.com/u/295688514?""",False,
CommitCommentEvent,org.gravatar_id,STRING,1,6,0.166667,"""""",False,
CommitCommentEvent,org.id,BIGINT,1,6,0.166667,295688514,False,contract field
CommitCommentEvent,org.login,STRING,1,6,0.166667,"""Outsourcetel""",False,contract field
CommitCommentEvent,org.url,STRING,1,6,0.166667,"""https://api.github.com/orgs/Outsourcetel""",False,
CommitCommentEvent,payload,STRUCT,6,6,1.0,,False,
CommitCommentEvent,payload.action,STRING,6,6,1.0,"""created""",False,contract field
CommitCommentEvent,payload.comment,STRUCT,6,6,1.0,,False,
CommitCommentEvent,payload.comment.body,STRING,6,6,1.0,"""Start""",False,
CommitCommentEvent,payload.comment.commit_id,STRING,6,6,1.0,"""05a4fcdb1e73fa9cd01a981878035299640de0b8""",False,
CommitCommentEvent,payload.comment.created_at,STRING,6,6,1.0,"""2026-07-29T15:00:20Z""",False,
CommitCommentEvent,payload.comment.html_url,STRING,6,6,1.0,"""https://github.com/ananddengi0-art/Av-just-dial-decors-/commit/05a4fcdb1e73fa9cd01a981878035299640…",False,
CommitCommentEvent,payload.comment.id,BIGINT,6,6,1.0,194225098,False,
CommitCommentEvent,payload.comment.line,NULL,6,6,1.0,,True,explicit null in 6/6 present events
CommitCommentEvent,payload.comment.node_id,STRING,6,6,1.0,"""CC_kwDOTnR-is4Lk6PK""",False,
